Object ID,Name,Centroid X µm,Centroid Y µm,Cell: CD15 (Opal 620) mean,Cell: H3Cit (Opal 690) mean,Cell: DAPI (DAPI) mean,Cell: CK (Alexa 488) mean,Cell: CD8 (Cy3) mean,Cell: MPO (Cy5) mean
785b3842-e9b3-48bc-ab1c-cba822c49e2b,PathCellObject,871.82,181.32,0.0248,0.0071,0.1628,0.0238,0.1612,0.0174
7277770f-36df-4e65-bfb8-b1d872b0f5be,PathCellObject,959.12,181.2,0.147,0.0739,0.2612,0.0023,0.2032,0.2044
a942d046-adea-4442-8c36-46299cf44359,PathCellObject,967.04,181.71,0.0388,0.0204,0.2837,0.0102,0.1301,0.0597
d7773691-a38a-4ca6-a82a-f4800d4516f8,PathCellObject,1009.3,182.99,0.1354,0.0444,0.228,0,0.1858,0.1617
2f80997e-4c4d-4679-ae59-963a899d0b8e,PathCellObject,803.16,185.53,0.0196,0.0103,0.4709,0.0052,0.14,0.0247
8045bd0e-d35d-4be4-9244-eeb3179debd6,PathCellObject,754.75,182.91,0.0288,0.0099,0.2475,0.0072,0.1177,0.0321
9cea0707-797f-496d-a37e-c689f5016348,PathCellObject,937.45,184.29,0.213,0.0968,0.4055,0,0.2164,0.3128
6d5e4385-2fec-4ac5-b54c-1297b8a9dfbf,PathCellObject,717.35,183.56,0.0088,0.0046,0.2747,0.002,0.0488,0.0131
c25ec319-e2fa-4663-8a27-2078a9663b19,PathCellObject,741.41,184.55,0.025,0.0108,0.1458,0.0075,0.1409,0.033
70644e50-a28b-4a78-b661-811a378d0089,PathCellObject,848.01,185.78,0.0183,0.0071,0.1854,0.0177,0.1453,0.0128
ebb5c168-c930-4cec-8b22-3b6668b4594e,PathCellObject,916.43,183.29,0.0751,0.0271,0.8697,0,0.4434,0.0619
184fee0b-36c7-41c5-b0ad-8e1addd3ae30,PathCellObject,813.62,188.98,0.0144,0.0071,0.3098,0.013,0.0883,0.0171
c5755b84-10b7-4842-b7a6-f748507e51dc,PathCellObject,907.4,185.99,0.0641,0.0339,0.2824,0.0047,0.2145,0.0951
a83bdf03-fc9b-4a90-87e0-35bcefcd6767,PathCellObject,829.25,185.86,0.0234,0.0101,0.3441,0.0108,0.1582,0.0226
03b02e2e-92be-4643-817a-41ddf7a96bb5,PathCellObject,877.62,185.22,0.021,0.0066,0.158,0.0349,0.15,0.0191
4c6b1022-0caf-4c0a-8adf-6a35aaa351cf,PathCellObject,991.11,186.41,0.0485,0.0127,0.2735,0.0029,0.3698,0.0379
958687ca-fbe5-4355-acd2-30ae808aab54,PathCellObject,947.33,185.54,0.0568,0.0407,0.7404,0,0.1441,0.1504
567d39fa-2e8a-43ab-9825-2bf3897ba59b,PathCellObject,727.18,187.16,0.0216,0.0096,0.3751,0.0139,0.151,0.0211
912974bf-f327-49b3-bedb-93656ee29239,PathCellObject,838.12,186.42,0.0196,0.0098,0.2672,0.0026,0.1328,0.0156
ed52f1b4-c0f5-4e76-a24b-04da76c0c147,PathCellObject,897.59,186.62,0.0494,0.009,0.3056,0.0103,0.3742,0.0236
585fc413-1df7-494f-b36c-d0f22cf3bee2,PathCellObject,1003.9,188.36,0.0395,0.0156,0.2047,0.0004,0.1843,0.067
052e4378-1d3b-46b0-97c4-621654ccc7b8,PathCellObject,773.39,189.49,0.0411,0.0183,0.1063,0.0028,0.1409,0.0491
17bcae46-1b98-4b90-9759-92a7307f022e,PathCellObject,916.03,189.25,0.0499,0.0465,0.5678,0,0.2215,0.1201
f2769231-01bb-43ce-bde1-978158e43c18,PathCellObject,967.95,188.75,0.0859,0.069,0.6494,0,0.1354,0.2214
cc0c8593-94aa-40a8-8e25-722d255924e8,PathCellObject,716.27,190.76,0.0118,0.005,0.3363,0.0073,0.0658,0.0125
adf12191-87f2-44fa-8f00-22c0f3ad6e51,PathCellObject,760.83,189.89,0.1712,0.0741,0.4468,0.0007,0.2062,0.2304
e3a10cea-0896-4bee-a245-d2fc5be9cb05,PathCellObject,958.75,189.34,0.0862,0.0707,0.5795,0,0.2367,0.1709
296bf09c-34c1-4dc9-b7d8-aeb365ed11c4,PathCellObject,1016.7,189.29,0.2757,0.0885,0.4416,0.003,0.2654,0.2741
83c8a6e3-262b-46bd-bdf9-db6c60b2075f,PathCellObject,795.83,190.78,0.018,0.0088,0.2981,0.0156,0.1218,0.0222
484836d8-ae8a-4007-8c21-fa3482066c1a,PathCellObject,951.62,190.36,0.0929,0.0695,0.6688,0,0.2434,0.2153
8f55dd3a-eb2d-4213-8ea3-c3d9a3ae45ef,PathCellObject,859.72,190.53,0.0236,0.0107,0.2509,0.0144,0.1597,0.0194
1e2f2812-f1e4-413a-8898-79281c3a7d3f,PathCellObject,739.84,194.33,0.1578,0.1659,0.4623,0.0006,0.2252,0.4066
bec63822-76a8-4a68-8e25-dbb6f4c9383e,PathCellObject,748.07,190.85,0.2325,0.0995,0.2459,0.0006,0.2023,0.2836
cabb4dd8-64a7-455f-8121-eefd5d3e381a,PathCellObject,785.06,192.4,0.0134,0.0051,0.0939,0.0018,0.0974,0.0108
a221abbe-590c-4d9c-bf43-1d73cf61ec3e,PathCellObject,975.28,191.08,0.0762,0.1103,0.3892,0,0.2004,0.3828
d9f0efcb-9442-4142-986d-737c7e8e672c,PathCellObject,821.08,193.36,0.0405,0.0118,0.0902,0.0038,0.0915,0.0376
6c13b537-5460-4508-b7d8-fbd89b44df8d,PathCellObject,887.76,195.02,0.0184,0.0095,0.1817,0.0185,0.1494,0.0157
66bdb561-0fae-4051-9114-1612af09d683,PathCellObject,979.71,195.65,0.046,0.0228,0.4984,0,0.2815,0.0746
